stuid,projectname,note
11255035,Phaser Game, 產生'主角' 設定'敵人s'群組 設定'子彈s'群組 設定'炸彈s'群組 敵人是產生新"敵人"在(this,x,y,x-70,x+100) 在'敵人s'群組加入"敵人" 
10972001,Phaser Game, 建立主角的步驟39-42 建立敵人移動範圍(動態?組)46-51 建立敵方射出炸彈及角色接觸到敵方炸彈時死亡的動作55-72 建立壁壘物件(靜態群組)77-79 建立壁壘與炸彈的互動84-100 使角色可移動107-113 發射子彈121-125 
11255005,Phaser Game,建立主角 建立敵人 建立子彈、敵人、主角間的碰撞 建立障礙物 建立子彈、敵人、障礙物間的碰撞 建立移動鈕 建立子彈 
11255040,Phaser Game, 建立主角 建立敵人 炸彈跟敵人接觸關係 向左 向右 都沒按 可以發射子彈 且 500ms發射一次 
11255014,Phaser Game, 建立主角 建立敵人 建立子彈 建立炸彈 設定敵人移動範圍 
11050003,Phaser Game, 建立主角 建立三個動態群組 敵人 子彈 炸彈 建立敵人範圍 disableBody 消滅 Math.random 隨機變數 Velocity 用速度的方式控制 讓子彈不連續 結束遊戲 檢查子彈 
11255002,Phaser Game, 建立新角色(火箭) 建立角色(敵人) 子彈碰到敵人(相抵)or 敵人碰到子彈(相抵) 角色(火箭)碰到子彈(炸彈)互相抵消 與磚塊之間的碰撞 
11255003,Phaser Game, 建立一個有趣的主角 建立新的敵人,加入敵人群組 設定敵人移動範圍 加入敵人 子彈與敵人之間的事件處理 火箭與炸彈之間的事件處理 子彈與炸彈之間的事件處理 建立靜態?組 → 方便設定及管理 
11255047,Phaser Game, 建立了敵人 建立了美麗的主角 
11255032,Phaser Game, 不用把照片下載下來就可以使用 建立火箭 新增了會移動的敵人 
11255004,Phaser Game, 建立一艘火箭 建立物理群組的敵人 建立子彈的物理群組 建立炸彈的物理群組 這個動態群組子彈和敵人增加重疊在function(o1, o2) (o1, o2)碰到會消滅 這個動態群組火箭和炸彈增加重疊在function(o1, o2) (o1, o2)碰到會消滅 這個動態群組炸彈和子彈增加重疊在function(o1, o2) (o1, o2)碰到會消滅 加入靜態群組 加入新的障礙物在(this, x, y) 這個動態群組障礙物和子彈增加重疊在function(o1, o2) (o1, o2)碰到會消滅 這個動態群組障礙物和炸彈增加重疊在function(o1, o2) (o1, o2)碰到會消滅 這個動態群組障礙物和敵人增加重疊在function(o1, o2) (o1)碰到會消滅 向左移 這個火箭距離)-160 向右移 火箭距離 +160 不移動 火箭 0 子彈從火箭發射載x,y-10 子彈會加子彈 子彈設置在-100 
11050017,Phaser Game, 建立了主角
