id,projectname,t1,t2,t3,t4,t5,t1_var,t2_var,t3_var,t4_var,t5_var,t_var
1083712,javascript,175,36,87,45,15,0,0,0,0,0.15234375,0.193310658
1100403,javascript,-4,4,-4,4,2,0.172839506,0,0.231404959,0,0,0.21
1100440,javascript,5,0,-12,0,-6,0,0,0,0.138888889,0.236686391,0.113003879
1100432,javascript,0,0,4,5,1,0,0,0,0,0.082644628,0.011903034
1100302,javascript,196,227,276,39,36,0,0,0,0,0.24609375,0.097709697
1100321,javascript,134,118,218,58,46,0,0,0,0,0,0
1090344,javascript,0,1,2,0,5,0,0.082644628,0,0,0,0.070181061
1070441,javascript,0,0,0,0,3,0,0,0,0,0,0
1090714,javascript,102,88,174,-7,9,0,0.21484375,0,0,0,0.249375
1100330,javascript,0,8,0,0,3,0,0.228373702,0,0,0.21484375,0.180890637
1090311,javascript,0,86,19,8,24,0,0,0,0,0,0
1100406,javascript,0,0,1,0,-1,0,0,0,0,0,0.249134948
1090302,javascript,0,5,4,0,6,0,0,0,0.138888889,0,0.013695988
1100405,javascript,9,21,5,0,9,0,0,0,0,0,0
1090403,javascript,0,12,30,26,8,0.222222222,0,0.138888889,0,0.222222222,0.144813733
1090335,javascript,0,0,9,0,7,0.052469136,0,0,0,0.24,0.149381431
1100415,javascript,60,35,-16,75,31,0,0.115555556,0.062222222,0,0.15234375,0.198837868
1090425,javascript,0,0,5,-4,5,0,0,0,0,0,0.166789941
test4,javascript,23,15,11,0,10,0,0,0,0,0,0
1083714,javascript,22,-7,19,19,6,0.237654321,0,0.148760331,0,0.195555556,0.233303876
s1090337,javascript,0,81,27,2,-6,0,0,0.09,0.229591837,0,0.217226516
1090311,jquery,90,130,86,107,58,0.045351474,0,0,0,0,0.009090144
1100407,jquery,45,429,210,285,57,0.029384757,0,0.076388889,0,0,0.019101029
1100405,jquery,252,102,86,162,24,0,0,0,0,0,0
1100406,jquery,15,0,0,6,10,0.15234375,0,0,0,0,0.238751148
1083714,jquery,25,56,5,0,1,0,0,0,0,0,0
1090434,jquery,1,0,-1,1,1,0,0,0,0,0,0.240754438
1100321,jquery,68,285,323,158,30,0,0,0,0,0,0
1100302,jquery,206,522,352,232,81,0.098765432,0,0.244897959,0,0.164930556,0.112201561
1090335,jquery,522,851,325,135,28,0,0,0.16,0.234375,0,0.081973866
1100432,jquery,19,8,7,15,7,0,0.082644628,0,0,0,0.008546373
1070441,jquery,13,33,39,0,3,0,0,0,0,0,0
1090319,jquery,0,0,0,0,1,0,0,0,0,0,0
s1090337,jquery,19,66,50,48,-2,0,0.12244898,0,0,0,0.184309018
1083712,jquery,465,193,801,139,6,0,0,0,0,0.179930796,0.108215211
1090344,jquery,2,34,17,0,21,0,0,0,0,0,0.1824
1100415,jquery,0,0,369,449,189,0.071005917,0,0,0,0,0.127224254
1090425,jquery,102,203,135,124,56,0.179930796,0,0,0,0,0.030738221
1100403,jquery,17,0,44,12,41,0,0,0,0,0,0.04338843
1100849,jquery,0,154,69,77,28,0,0,0,0,0,0
1100440,jquery,0,-17,-6,-8,22,0,0,0,0,0,0.247453918
1090403,jquery,54,132,137,15,75,0,0.192816635,0.216066482,0,0,0.14474681
s1100333,jquery,30,33,2,0,1,0,0,0,0,0,0.012497997
1090714,jquery,230,315,217,225,137,0.04338843,0.138888889,0,0,0,0.032483582
1100332,jquery,2,0,0,0,1,0,0,0,0,0,0
